Year,Period,Area,Adjusted,Preliminary,Labor Force,Employment,Unemployment,Unemployment Rate
2011,Annual,Lakeside CDP,Not Adj,Not Prelim,10500,9100,1400,0.133
2010,Annual,Lakeside CDP,Not Adj,Not Prelim,10400,9000,1400,0.139
2019,Annual,Lakeview CDP,Not Adj,Not Prelim,1200,1100,100,0.045
2018,Annual,Lakeview CDP,Not Adj,Not Prelim,1200,1100,100,0.048
2017,Annual,Lakeview CDP,Not Adj,Not Prelim,1100,1100,100,0.056
2016,Annual,Lakeview CDP,Not Adj,Not Prelim,1100,1000,100,0.065
2015,Annual,Lakeview CDP,Not Adj,Not Prelim,1100,1000,100,0.072
2014,Annual,Lakeview CDP,Not Adj,Not Prelim,1100,1000,100,0.087
2013,Annual,Lakeview CDP,Not Adj,Not Prelim,1100,900,100,0.106
2012,Annual,Lakeview CDP,Not Adj,Not Prelim,1100,900,100,0.124
2011,Annual,Lakeview CDP,Not Adj,Not Prelim,1000,900,100,0.141
2010,Annual,Lakeview CDP,Not Adj,Not Prelim,1000,900,200,0.148
2019,Annual,Lake Wildwood CDP,Not Adj,Not Prelim,1970,1960,20,0.008
2018,Annual,Lake Wildwood CDP,Not Adj,Not Prelim,1970,1950,20,0.009
2017,Annual,Lake Wildwood CDP,Not Adj,Not Prelim,1950,1930,20,0.010
2016,Annual,Lake Wildwood CDP,Not Adj,Not Prelim,1930,1910,20,0.011
2015,Annual,Lake Wildwood CDP,Not Adj,Not Prelim,1910,1890,30,0.013
2014,Annual,Lake Wildwood CDP,Not Adj,Not Prelim,1890,1860,30,0.016
2013,Annual,Lake Wildwood CDP,Not Adj,Not Prelim,1880,1840,40,0.020
2012,Annual,Lake Wildwood CDP,Not Adj,Not Prelim,1860,1820,50,0.025
2011,Annual,Lake Wildwood CDP,Not Adj,Not Prelim,1870,1810,50,0.028
2010,Annual,Lake Wildwood CDP,Not Adj,Not Prelim,1850,1800,60,0.030
2019,Annual,Lakewood city,Not Adj,Not Prelim,43100,41300,1800,0.041
2018,Annual,Lakewood city,Not Adj,Not Prelim,42900,41000,1900,0.043
2017,Annual,Lakewood city,Not Adj,Not Prelim,43000,41100,1900,0.044
2016,Annual,Lakewood city,Not Adj,Not Prelim,42700,40600,2100,0.050
2015,Annual,Lakewood city,Not Adj,Not Prelim,41900,39700,2100,0.051
2014,Annual,Lakewood city,Not Adj,Not Prelim,42100,39400,2700,0.064
2013,Annual,Lakewood city,Not Adj,Not Prelim,41800,38700,3200,0.076
2012,Annual,Lakewood city,Not Adj,Not Prelim,41400,37900,3500,0.085
2011,Annual,Lakewood city,Not Adj,Not Prelim,41500,37500,3900,0.095
2010,Annual,Lakewood city,Not Adj,Not Prelim,41400,37300,4000,0.098
2019,Annual,La Mesa city,Not Adj,Not Prelim,30600,29600,1000,0.031
2018,Annual,La Mesa city,Not Adj,Not Prelim,30400,29400,1000,0.033
2017,Annual,La Mesa city,Not Adj,Not Prelim,30500,29300,1200,0.040
2016,Annual,La Mesa city,Not Adj,Not Prelim,30400,29000,1400,0.046
2015,Annual,La Mesa city,Not Adj,Not Prelim,30500,28900,1600,0.053
2014,Annual,La Mesa city,Not Adj,Not Prelim,30200,28200,2000,0.065
2013,Annual,La Mesa city,Not Adj,Not Prelim,30400,28000,2400,0.079
2012,Annual,La Mesa city,Not Adj,Not Prelim,30500,27700,2800,0.092
2011,Annual,La Mesa city,Not Adj,Not Prelim,30300,27100,3200,0.104
2010,Annual,La Mesa city,Not Adj,Not Prelim,30200,26900,3300,0.109
2019,Annual,La Mirada city,Not Adj,Not Prelim,24300,23300,1000,0.041
2018,Annual,La Mirada city,Not Adj,Not Prelim,24200,23200,1100,0.044
2017,Annual,La Mirada city,Not Adj,Not Prelim,24200,23200,1100,0.044
2016,Annual,La Mirada city,Not Adj,Not Prelim,24100,22900,1200,0.049
2015,Annual,La Mirada city,Not Adj,Not Prelim,23500,22400,1100,0.046
2014,Annual,La Mirada city,Not Adj,Not Prelim,23500,22200,1400,0.058
2013,Annual,La Mirada city,Not Adj,Not Prelim,23400,21800,1600,0.069
2012,Annual,La Mirada city,Not Adj,Not Prelim,23100,21300,1800,0.078
2011,Annual,La Mirada city,Not Adj,Not Prelim,23200,21100,2000,0.087
2010,Annual,La Mirada city,Not Adj,Not Prelim,23100,21100,2100,0.090
2019,Annual,Lamont CDP,Not Adj,Not Prelim,6900,6400,500,0.071
2018,Annual,Lamont CDP,Not Adj,Not Prelim,6800,6300,500,0.074
2017,Annual,Lamont CDP,Not Adj,Not Prelim,6800,6200,600,0.084
2016,Annual,Lamont CDP,Not Adj,Not Prelim,6900,6200,700,0.095
2015,Annual,Lamont CDP,Not Adj,Not Prelim,6900,6200,600,0.094
2014,Annual,Lamont CDP,Not Adj,Not Prelim,6900,6300,700,0.095
2013,Annual,Lamont CDP,Not Adj,Not Prelim,6900,6200,700,0.108
2012,Annual,Lamont CDP,Not Adj,Not Prelim,6900,6100,800,0.121
2011,Annual,Lamont CDP,Not Adj,Not Prelim,6700,5800,900,0.136
2010,Annual,Lamont CDP,Not Adj,Not Prelim,6500,5600,900,0.144
2019,Annual,Lanare CDP,Not Adj,Not Prelim,100,100,0,0.000
2018,Annual,Lanare CDP,Not Adj,Not Prelim,100,100,0,0.000
2017,Annual,Lanare CDP,Not Adj,Not Prelim,100,100,0,0.000
2016,Annual,Lanare CDP,Not Adj,Not Prelim,100,100,0,0.000
2015,Annual,Lanare CDP,Not Adj,Not Prelim,100,100,0,0.000
2014,Annual,Lanare CDP,Not Adj,Not Prelim,100,100,0,0.000
2013,Annual,Lanare CDP,Not Adj,Not Prelim,100,100,0,0.000
2012,Annual,Lanare CDP,Not Adj,Not Prelim,100,100,0,0.000
2011,Annual,Lanare CDP,Not Adj,Not Prelim,100,100,0,0.000
2010,Annual,Lanare CDP,Not Adj,Not Prelim,100,100,0,0.000
2019,Annual,Lancaster city,Not Adj,Not Prelim,65300,61100,4200,0.064
2018,Annual,Lancaster city,Not Adj,Not Prelim,64900,60700,4200,0.065
2017,Annual,Lancaster city,Not Adj,Not Prelim,64900,60600,4300,0.067
2016,Annual,Lancaster city,Not Adj,Not Prelim,64200,59700,4500,0.071
2015,Annual,Lancaster city,Not Adj,Not Prelim,63100,58400,4700,0.074
2014,Annual,Lancaster city,Not Adj,Not Prelim,63700,57800,5900,0.092
2013,Annual,Lancaster city,Not Adj,Not Prelim,63500,56600,6900,0.109
2012,Annual,Lancaster city,Not Adj,Not Prelim,63000,55300,7700,0.122
2011,Annual,Lancaster city,Not Adj,Not Prelim,63500,54900,8600,0.135
2010,Annual,Lancaster city,Not Adj,Not Prelim,63200,54500,8800,0.139
2019,Annual,La Palma city,Not Adj,Not Prelim,7800,7600,200,0.027
2018,Annual,La Palma city,Not Adj,Not Prelim,7800,7500,200,0.029
2017,Annual,La Palma city,Not Adj,Not Prelim,7700,7500,300,0.034
2016,Annual,La Palma city,Not Adj,Not Prelim,7700,7400,300,0.040
2015,Annual,La Palma city,Not Adj,Not Prelim,7600,7300,300,0.044
2014,Annual,La Palma city,Not Adj,Not Prelim,7500,7100,400,0.054
2013,Annual,La Palma city,Not Adj,Not Prelim,7500,7000,500,0.065
2012,Annual,La Palma city,Not Adj,Not Prelim,7500,6900,600,0.077
2011,Annual,La Palma city,Not Adj,Not Prelim,7400,6800,700,0.089
2010,Annual,La Palma city,Not Adj,Not Prelim,7400,6700,700,0.096
2019,Annual,La Porte CDP,Not Adj,Not Prelim,0,0,0,0.000
2018,Annual,La Porte CDP,Not Adj,Not Prelim,0,0,0,0.000
2017,Annual,La Porte CDP,Not Adj,Not Prelim,0,0,0,0.000
2016,Annual,La Porte CDP,Not Adj,Not Prelim,0,0,0,0.000
2015,Annual,La Porte CDP,Not Adj,Not Prelim,0,0,0,0.000
2014,Annual,La Porte CDP,Not Adj,Not Prelim,0,0,0,0.000
2013,Annual,La Porte CDP,Not Adj,Not Prelim,0,0,0,0.000
2012,Annual,La Porte CDP,Not Adj,Not Prelim,0,0,0,0.000
2011,Annual,La Porte CDP,Not Adj,Not Prelim,0,0,0,0.000
2010,Annual,La Porte CDP,Not Adj,Not Prelim,0,0,0,0.000
2019,Annual,La Puente city,Not Adj,Not Prelim,19100,18300,900,0.045
2018,Annual,La Puente city,Not Adj,Not Prelim,19000,18100,900,0.048
2017,Annual,La Puente city,Not Adj,Not Prelim,19100,18100,900,0.049
2016,Annual,La Puente city,Not Adj,Not Prelim,19000,17900,1000,0.054
2015,Annual,La Puente city,Not Adj,Not Prelim,18700,17600,1100,0.058
2014,Annual,La Puente city,Not Adj,Not Prelim,18800,17400,1400,0.073
2013,Annual,La Puente city,Not Adj,Not Prelim,18700,17100,1600,0.086
2012,Annual,La Puente city,Not Adj,Not Prelim,18500,16700,1800,0.097
2011,Annual,La Puente city,Not Adj,Not Prelim,18600,16600,2000,0.108
2010,Annual,La Puente city,Not Adj,Not Prelim,18500,16500,2100,0.111
2019,Annual,La Quinta city,Not Adj,Not Prelim,19200,18400,800,0.041
2018,Annual,La Quinta city,Not Adj,Not Prelim,19000,18100,900,0.045
2017,Annual,La Quinta city,Not Adj,Not Prelim,18700,17700,1000,0.052
2016,Annual,La Quinta city,Not Adj,Not Prelim,18500,17400,1100,0.060
2015,Annual,La Quinta city,Not Adj,Not Prelim,17700,16900,700,0.042
2014,Annual,La Quinta city,Not Adj,Not Prelim,17200,16300,900,0.052
2013,Annual,La Quinta city,Not Adj,Not Prelim,16900,15800,1100,0.063
2012,Annual,La Quinta city,Not Adj,Not Prelim,16500,15200,1200,0.075
2011,Annual,La Quinta city,Not Adj,Not Prelim,16300,14900,1400,0.085
2010,Annual,La Quinta city,Not Adj,Not Prelim,16200,14800,1500,0.090
2019,Annual,La Riviera CDP,Not Adj,Not Prelim,5800,5600,200,0.032
2018,Annual,La Riviera CDP,Not Adj,Not Prelim,5800,5600,200,0.033
2017,Annual,La Riviera CDP,Not Adj,Not Prelim,5700,5500,200,0.040
2016,Annual,La Riviera CDP,Not Adj,Not Prelim,5700,5400,300,0.047
2015,Annual,La Riviera CDP,Not Adj,Not Prelim,5600,5300,300,0.052
2014,Annual,La Riviera CDP,Not Adj,Not Prelim,5500,5200,300,0.063
2013,Annual,La Riviera CDP,Not Adj,Not Prelim,5500,5100,400,0.077
2012,Annual,La Riviera CDP,Not Adj,Not Prelim,5500,5000,500,0.091
2011,Annual,La Riviera CDP,Not Adj,Not Prelim,5500,4900,600,0.105
2010,Annual,La Riviera CDP,Not Adj,Not Prelim,5500,4900,600,0.110
2019,Annual,Larkspur city,Not Adj,Not Prelim,7000,6900,100,0.018
2018,Annual,Larkspur city,Not Adj,Not Prelim,7000,6900,100,0.019
2017,Annual,Larkspur city,Not Adj,Not Prelim,7000,6800,200,0.022
2016,Annual,Larkspur city,Not Adj,Not Prelim,7000,6800,200,0.025
2015,Annual,Larkspur city,Not Adj,Not Prelim,6900,6700,200,0.028
2014,Annual,Larkspur city,Not Adj,Not Prelim,6900,6700,200,0.033
2013,Annual,Larkspur city,Not Adj,Not Prelim,6900,6600,300,0.040
2012,Annual,Larkspur city,Not Adj,Not Prelim,6800,6400,300,0.049
2011,Annual,Larkspur city,Not Adj,Not Prelim,6600,6300,400,0.057
2010,Annual,Larkspur city,Not Adj,Not Prelim,6600,6200,400,0.062
2019,Annual,Las Flores CDP,Not Adj,Not Prelim,3100,3000,0,0.009
2018,Annual,Las Flores CDP,Not Adj,Not Prelim,3100,3000,0,0.009
2017,Annual,Las Flores CDP,Not Adj,Not Prelim,3000,3000,0,0.011
2016,Annual,Las Flores CDP,Not Adj,Not Prelim,3000,3000,0,0.013
2015,Annual,Las Flores CDP,Not Adj,Not Prelim,3000,2900,0,0.015
2014,Annual,Las Flores CDP,Not Adj,Not Prelim,2900,2900,100,0.018
2013,Annual,Las Flores CDP,Not Adj,Not Prelim,2900,2800,100,0.021
2012,Annual,Las Flores CDP,Not Adj,Not Prelim,2900,2800,100,0.026
2011,Annual,Las Flores CDP,Not Adj,Not Prelim,2800,2700,100,0.030
2010,Annual,Las Flores CDP,Not Adj,Not Prelim,2800,2700,100,0.033
2019,Annual,Las Lomas CDP,Not Adj,Not Prelim,2200,2000,200,0.077
2018,Annual,Las Lomas CDP,Not Adj,Not Prelim,2200,2000,200,0.080
2017,Annual,Las Lomas CDP,Not Adj,Not Prelim,2200,2000,200,0.089
2016,Annual,Las Lomas CDP,Not Adj,Not Prelim,2200,2000,200,0.095
2015,Annual,Las Lomas CDP,Not Adj,Not Prelim,2200,1900,200,0.101
2014,Annual,Las Lomas CDP,Not Adj,Not Prelim,2200,1900,200,0.112
2013,Annual,Las Lomas CDP,Not Adj,Not Prelim,2200,1900,300,0.127
2012,Annual,Las Lomas CDP,Not Adj,Not Prelim,2200,1900,300,0.142
2011,Annual,Las Lomas CDP,Not Adj,Not Prelim,2200,1800,300,0.155
2010,Annual,Las Lomas CDP,Not Adj,Not Prelim,2200,1800,300,0.156
2019,Annual,Lathrop city,Not Adj,Not Prelim,9700,9300,400,0.043
2018,Annual,Lathrop city,Not Adj,Not Prelim,9700,9200,400,0.045
2017,Annual,Lathrop city,Not Adj,Not Prelim,9600,9100,500,0.052
2016,Annual,Lathrop city,Not Adj,Not Prelim,9400,8900,600,0.060
2015,Annual,Lathrop city,Not Adj,Not Prelim,9300,8700,600,0.066
2014,Annual,Lathrop city,Not Adj,Not Prelim,9200,8500,700,0.079
2013,Annual,Lathrop city,Not Adj,Not Prelim,9200,8300,800,0.092
2012,Annual,Lathrop city,Not Adj,Not Prelim,9100,8100,1000,0.108
2011,Annual,Lathrop city,Not Adj,Not Prelim,9000,7900,1100,0.123
2010,Annual,Lathrop city,Not Adj,Not Prelim,9000,7900,1100,0.125
2019,Annual,Laton CDP,Not Adj,Not Prelim,900,800,100,0.087
2018,Annual,Laton CDP,Not Adj,Not Prelim,900,800,100,0.091
2017,Annual,Laton CDP,Not Adj,Not Prelim,900,800,100,0.102
2016,Annual,Laton CDP,Not Adj,Not Prelim,900,800,100,0.113
2015,Annual,Laton CDP,Not Adj,Not Prelim,900,800,100,0.122
2014,Annual,Laton CDP,Not Adj,Not Prelim,900,800,100,0.137
2013,Annual,Laton CDP,Not Adj,Not Prelim,900,800,100,0.156
2012,Annual,Laton CDP,Not Adj,Not Prelim,900,800,200,0.179
2011,Annual,Laton CDP,Not Adj,Not Prelim,900,800,200,0.194
2010,Annual,Laton CDP,Not Adj,Not Prelim,900,700,200,0.196
2019,Annual,La Verne city,Not Adj,Not Prelim,16100,15500,700,0.042
2018,Annual,La Verne city,Not Adj,Not Prelim,16000,15300,700,0.044
2017,Annual,La Verne city,Not Adj,Not Prelim,16000,15300,700,0.044
2016,Annual,La Verne city,Not Adj,Not Prelim,15900,15100,800,0.049
2015,Annual,La Verne city,Not Adj,Not Prelim,15600,14800,800,0.051
2014,Annual,La Verne city,Not Adj,Not Prelim,15500,14500,1000,0.063
2013,Annual,La Verne city,Not Adj,Not Prelim,15300,14100,1100,0.075
2012,Annual,La Verne city,Not Adj,Not Prelim,14900,13700,1300,0.084
2011,Annual,La Verne city,Not Adj,Not Prelim,15000,13600,1400,0.094
2010,Annual,La Verne city,Not Adj,Not Prelim,14900,13500,1400,0.097
2019,Annual,Lawndale city,Not Adj,Not Prelim,16700,16000,700,0.041
2018,Annual,Lawndale city,Not Adj,Not Prelim,16600,15900,700,0.043
2017,Annual,Lawndale city,Not Adj,Not Prelim,16600,15900,700,0.044
2016,Annual,Lawndale city,Not Adj,Not Prelim,16500,15700,800,0.049
2015,Annual,Lawndale city,Not Adj,Not Prelim,16400,15400,1000,0.063
2014,Annual,Lawndale city,Not Adj,Not Prelim,16600,15300,1300,0.079
2013,Annual,Lawndale city,Not Adj,Not Prelim,16500,15000,1500,0.093
2012,Annual,Lawndale city,Not Adj,Not Prelim,16400,14700,1700,0.105
2011,Annual,Lawndale city,Not Adj,Not Prelim,16500,14500,1900,0.117
2010,Annual,Lawndale city,Not Adj,Not Prelim,16400,14500,2000,0.120
2019,Annual,Laytonville CDP,Not Adj,Not Prelim,460,420,50,0.101
2018,Annual,Laytonville CDP,Not Adj,Not Prelim,470,420,50,0.102
2017,Annual,Laytonville CDP,Not Adj,Not Prelim,480,420,50,0.113
2016,Annual,Laytonville CDP,Not Adj,Not Prelim,480,420,60,0.131
2015,Annual,Laytonville CDP,Not Adj,Not Prelim,490,420,70,0.143
2014,Annual,Laytonville CDP,Not Adj,Not Prelim,500,420,90,0.169
2013,Annual,Laytonville CDP,Not Adj,Not Prelim,520,420,100,0.198
2012,Annual,Laytonville CDP,Not Adj,Not Prelim,540,410,120,0.232
2011,Annual,Laytonville CDP,Not Adj,Not Prelim,550,410,140,0.258
2010,Annual,Laytonville CDP,Not Adj,Not Prelim,560,410,150,0.262
2019,Annual,Lebec CDP,Not Adj,Not Prelim,1000,800,100,0.134
2018,Annual,Lebec CDP,Not Adj,Not Prelim,900,800,100,0.140
2017,Annual,Lebec CDP,Not Adj,Not Prelim,900,800,100,0.157
2016,Annual,Lebec CDP,Not Adj,Not Prelim,1000,800,200,0.176
2015,Annual,Lebec CDP,Not Adj,Not Prelim,1000,800,200,0.173
2014,Annual,Lebec CDP,Not Adj,Not Prelim,1000,800,200,0.177
2013,Annual,Lebec CDP,Not Adj,Not Prelim,1000,800,200,0.197
2012,Annual,Lebec CDP,Not Adj,Not Prelim,1000,800,200,0.219
2011,Annual,Lebec CDP,Not Adj,Not Prelim,1000,700,200,0.243
2010,Annual,Lebec CDP,Not Adj,Not Prelim,1000,700,200,0.256
2019,Annual,Le Grand CDP,Not Adj,Not Prelim,800,700,100,0.106
2018,Annual,Le Grand CDP,Not Adj,Not Prelim,800,700,100,0.111
2017,Annual,Le Grand CDP,Not Adj,Not Prelim,800,700,100,0.123
2016,Annual,Le Grand CDP,Not Adj,Not Prelim,800,700,100,0.138
2015,Annual,Le Grand CDP,Not Adj,Not Prelim,800,700,100,0.148
2014,Annual,Le Grand CDP,Not Adj,Not Prelim,800,700,100,0.167
2013,Annual,Le Grand CDP,Not Adj,Not Prelim,800,700,200,0.187
2012,Annual,Le Grand CDP,Not Adj,Not Prelim,800,700,200,0.209
2011,Annual,Le Grand CDP,Not Adj,Not Prelim,800,700,200,0.225
2010,Annual,Le Grand CDP,Not Adj,Not Prelim,800,600,200,0.229
2019,Annual,Lemon Cove CDP,Not Adj,Not Prelim,100,100,0,0.031
2018,Annual,Lemon Cove CDP,Not Adj,Not Prelim,100,100,0,0.032
2017,Annual,Lemon Cove CDP,Not Adj,Not Prelim,100,100,0,0.032
2016,Annual,Lemon Cove CDP,Not Adj,Not Prelim,100,100,0,0.042
2015,Annual,Lemon Cove CDP,Not Adj,Not Prelim,100,100,0,0.043
2014,Annual,Lemon Cove CDP,Not Adj,Not Prelim,100,100,0,0.044
2013,Annual,Lemon Cove CDP,Not Adj,Not Prelim,100,100,0,0.055
2012,Annual,Lemon Cove CDP,Not Adj,Not Prelim,100,100,0,0.056
2011,Annual,Lemon Cove CDP,Not Adj,Not Prelim,100,100,0,0.066
2010,Annual,Lemon Cove CDP,Not Adj,Not Prelim,100,100,0,0.067
2019,Annual,Lemon Grove city,Not Adj,Not Prelim,12500,12000,500,0.037
2018,Annual,Lemon Grove city,Not Adj,Not Prelim,12400,11900,500,0.039
2017,Annual,Lemon Grove city,Not Adj,Not Prelim,12500,11900,600,0.048
2016,Annual,Lemon Grove city,Not Adj,Not Prelim,12300,11700,700,0.055
2015,Annual,Lemon Grove city,Not Adj,Not Prelim,12300,11500,800,0.068
2014,Annual,Lemon Grove city,Not Adj,Not Prelim,12400,11300,1000,0.084
2013,Annual,Lemon Grove city,Not Adj,Not Prelim,12500,11200,1300,0.102
2012,Annual,Lemon Grove city,Not Adj,Not Prelim,12500,11100,1500,0.118
2011,Annual,Lemon Grove city,Not Adj,Not Prelim,12500,10800,1700,0.133
2010,Annual,Lemon Grove city,Not Adj,Not Prelim,12400,10700,1700,0.139
2019,Annual,Lemoore city,Not Adj,Not Prelim,12100,11500,700,0.056
2018,Annual,Lemoore city,Not Adj,Not Prelim,12100,11400,700,0.058
2017,Annual,Lemoore city,Not Adj,Not Prelim,12100,11300,800,0.063
2016,Annual,Lemoore city,Not Adj,Not Prelim,11800,10900,900,0.073
2015,Annual,Lemoore city,Not Adj,Not Prelim,11900,10800,1100,0.094
2014,Annual,Lemoore city,Not Adj,Not Prelim,11700,10400,1200,0.107
2013,Annual,Lemoore city,Not Adj,Not Prelim,11700,10300,1400,0.120
2012,Annual,Lemoore city,Not Adj,Not Prelim,11600,10100,1600,0.134
2011,Annual,Lemoore city,Not Adj,Not Prelim,11500,9900,1600,0.143
2010,Annual,Lemoore city,Not Adj,Not Prelim,11600,9900,1700,0.145
2019,Annual,Lemoore Station CDP,Not Adj,Not Prelim,1500,1400,100,0.060
2018,Annual,Lemoore Station CDP,Not Adj,Not Prelim,1500,1400,100,0.060
2017,Annual,Lemoore Station CDP,Not Adj,Not Prelim,1500,1400,100,0.068
2016,Annual,Lemoore Station CDP,Not Adj,Not Prelim,1500,1300,100,0.076
2015,Annual,Lemoore Station CDP,Not Adj,Not Prelim,1500,1300,100,0.080
2014,Annual,Lemoore Station CDP,Not Adj,Not Prelim,1500,1300,100,0.091
2013,Annual,Lemoore Station CDP,Not Adj,Not Prelim,1500,1300,200,0.103
2012,Annual,Lemoore Station CDP,Not Adj,Not Prelim,1500,1300,200,0.115
2011,Annual,Lemoore Station CDP,Not Adj,Not Prelim,1500,1300,200,0.123
2010,Annual,Lemoore Station CDP,Not Adj,Not Prelim,1500,1300,200,0.125
2019,Annual,Lennox CDP,Not Adj,Not Prelim,10900,10400,500,0.046
2018,Annual,Lennox CDP,Not Adj,Not Prelim,10900,10300,500,0.048
2017,Annual,Lennox CDP,Not Adj,Not Prelim,10800,10300,500,0.050
2016,Annual,Lennox CDP,Not Adj,Not Prelim,10700,10100,600,0.055
2015,Annual,Lennox CDP,Not Adj,Not Prelim,10600,9900,700,0.069
2014,Annual,Lennox CDP,Not Adj,Not Prelim,10700,9800,900,0.086
2013,Annual,Lennox CDP,Not Adj,Not Prelim,10600,9500,1100,0.101
2012,Annual,Lennox CDP,Not Adj,Not Prelim,10500,9300,1200,0.113
2011,Annual,Lennox CDP,Not Adj,Not Prelim,10600,9200,1300,0.127
2010,Annual,Lennox CDP,Not Adj,Not Prelim,10500,9200,1400,0.130
2019,Annual,Lenwood CDP,Not Adj,Not Prelim,1700,1700,0,0.010
2018,Annual,Lenwood CDP,Not Adj,Not Prelim,1700,1700,0,0.011
2017,Annual,Lenwood CDP,Not Adj,Not Prelim,1700,1600,0,0.013
2016,Annual,Lenwood CDP,Not Adj,Not Prelim,1600,1600,0,0.015
2015,Annual,Lenwood CDP,Not Adj,Not Prelim,1600,1600,0,0.017
2014,Annual,Lenwood CDP,Not Adj,Not Prelim,1600,1500,0,0.022
2013,Annual,Lenwood CDP,Not Adj,Not Prelim,1500,1500,0,0.027
2012,Annual,Lenwood CDP,Not Adj,Not Prelim,1500,1400,0,0.032
2011,Annual,Lenwood CDP,Not Adj,Not Prelim,1500,1400,100,0.036
2010,Annual,Lenwood CDP,Not Adj,Not Prelim,1500,1400,100,0.038
2019,Annual,Lewiston CDP,Not Adj,Not Prelim,460,440,30,0.054
2018,Annual,Lewiston CDP,Not Adj,Not Prelim,460,440,30,0.056
2017,Annual,Lewiston CDP,Not Adj,Not Prelim,480,450,30,0.061
2016,Annual,Lewiston CDP,Not Adj,Not Prelim,490,460,30,0.069
2015,Annual,Lewiston CDP,Not Adj,Not Prelim,510,470,40,0.075
2014,Annual,Lewiston CDP,Not Adj,Not Prelim,510,460,50,0.092
2013,Annual,Lewiston CDP,Not Adj,Not Prelim,510,450,60,0.117
2012,Annual,Lewiston CDP,Not Adj,Not Prelim,520,450,80,0.143
2011,Annual,Lewiston CDP,Not Adj,Not Prelim,530,440,90,0.164
2010,Annual,Lewiston CDP,Not Adj,Not Prelim,530,450,90,0.167
2019,Annual,Lincoln city,Not Adj,Not Prelim,19300,18600,700,0.034
2018,Annual,Lincoln city,Not Adj,Not Prelim,19000,18400,700,0.034
2017,Annual,Lincoln city,Not Adj,Not Prelim,18800,18000,800,0.043
2016,Annual,Lincoln city,Not Adj,Not Prelim,18700,17700,900,0.049
2015,Annual,Lincoln city,Not Adj,Not Prelim,18400,17300,1000,0.055
2014,Annual,Lincoln city,Not Adj,Not Prelim,18200,17000,1200,0.068
2013,Annual,Lincoln city,Not Adj,Not Prelim,18300,16700,1500,0.084
2012,Annual,Lincoln city,Not Adj,Not Prelim,18100,16300,1800,0.102
2011,Annual,Lincoln city,Not Adj,Not Prelim,18000,15900,2100,0.118
2010,Annual,Lincoln city,Not Adj,Not Prelim,18100,15800,2300,0.126
2019,Annual,Lincoln Village CDP,Not Adj,Not Prelim,2100,2000,100,0.052
2018,Annual,Lincoln Village CDP,Not Adj,Not Prelim,2100,2000,100,0.055
2017,Annual,Lincoln Village CDP,Not Adj,Not Prelim,2100,2000,100,0.063
2016,Annual,Lincoln Village CDP,Not Adj,Not Prelim,2100,1900,200,0.073
2015,Annual,Lincoln Village CDP,Not Adj,Not Prelim,2000,1900,200,0.080
2014,Annual,Lincoln Village CDP,Not Adj,Not Prelim,2000,1800,200,0.095
2013,Annual,Lincoln Village CDP,Not Adj,Not Prelim,2000,1800,200,0.111
2012,Annual,Lincoln Village CDP,Not Adj,Not Prelim,2000,1800,300,0.130
2011,Annual,Lincoln Village CDP,Not Adj,Not Prelim,2000,1700,300,0.146
2010,Annual,Lincoln Village CDP,Not Adj,Not Prelim,2000,1700,300,0.149
2019,Annual,Linda CDP,Not Adj,Not Prelim,7200,6600,600,0.084
2018,Annual,Linda CDP,Not Adj,Not Prelim,7100,6400,600,0.090
2017,Annual,Linda CDP,Not Adj,Not Prelim,7000,6200,700,0.103
2016,Annual,Linda CDP,Not Adj,Not Prelim,6800,6000,800,0.118
2015,Annual,Linda CDP,Not Adj,Not Prelim,6800,5900,900,0.127
2014,Annual,Linda CDP,Not Adj,Not Prelim,6900,5800,1000,0.152
2013,Annual,Linda CDP,Not Adj,Not Prelim,7000,5800,1200,0.178
2012,Annual,Linda CDP,Not Adj,Not Prelim,7200,5700,1500,0.206
2011,Annual,Linda CDP,Not Adj,Not Prelim,7300,5600,1600,0.226
2010,Annual,Linda CDP,Not Adj,Not Prelim,7300,5600,1700,0.235
2019,Annual,Linden CDP,Not Adj,Not Prelim,1000,1000,0,0.022
2018,Annual,Linden CDP,Not Adj,Not Prelim,1000,1000,0,0.023
2017,Annual,Linden CDP,Not Adj,Not Prelim,1000,900,0,0.027
2016,Annual,Linden CDP,Not Adj,Not Prelim,1000,900,0,0.030
2015,Annual,Linden CDP,Not Adj,Not Prelim,900,900,0,0.034
2014,Annual,Linden CDP,Not Adj,Not Prelim,900,900,0,0.040
2013,Annual,Linden CDP,Not Adj,Not Prelim,900,900,0,0.048
2012,Annual,Linden CDP,Not Adj,Not Prelim,900,800,100,0.057
